STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,0,0,2023670
1,AL,35004,0,4930
1,AL,35005,0,3370
1,AL,35006,0,1300
1,AL,35007,0,11800
1,AL,35010,0,8660
1,AL,35014,0,1610
1,AL,35016,0,6960
1,AL,35019,0,910
1,AL,35020,0,10140
1,AL,35022,0,9370
1,AL,35023,0,10170
1,AL,35031,0,2950
1,AL,35033,0,1330
1,AL,35034,0,1430
1,AL,35035,0,580
1,AL,35040,0,6960
1,AL,35042,0,2150
1,AL,35043,0,4390
1,AL,35044,0,3130
1,AL,35045,0,5510
1,AL,35046,0,2500
1,AL,35049,0,1560
1,AL,35051,0,3390
1,AL,35053,0,1020
1,AL,35054,0,1710
1,AL,35055,0,7750
1,AL,35057,0,4970
1,AL,35058,0,4110
1,AL,35061,0,620
1,AL,35062,0,3270
1,AL,35063,0,1240
1,AL,35064,0,4750
1,AL,35068,0,3490
1,AL,35071,0,7130
1,AL,35072,0,1940
1,AL,35073,0,1020
1,AL,35077,0,5110
1,AL,35078,0,870
1,AL,35079,0,3430
1,AL,35080,0,7090
1,AL,35083,0,1190
1,AL,35085,0,3390
1,AL,35087,0,780
1,AL,35089,0,790
1,AL,35091,0,1050
1,AL,35094,0,6310
1,AL,35096,0,3340
1,AL,35097,0,780
1,AL,35098,0,550
1,AL,35111,0,6740
1,AL,35114,0,2820
1,AL,35115,0,5140
1,AL,35116,0,1960
1,AL,35117,0,2680
1,AL,35118,0,1370
1,AL,35120,0,5870
1,AL,35121,0,5950
1,AL,35124,0,11410
1,AL,35125,0,4350
1,AL,35126,0,9470
1,AL,35127,0,4280
1,AL,35128,0,3970
1,AL,35130,0,1230
1,AL,35131,0,1500
1,AL,35133,0,1580
1,AL,35135,0,800
1,AL,35136,0,690
1,AL,35143,0,1230
1,AL,35146,0,4160
1,AL,35147,0,2190
1,AL,35148,0,1170
1,AL,35150,0,7280
1,AL,35151,0,2930
1,AL,35160,0,9790
1,AL,35171,0,1390
1,AL,35172,0,1120
1,AL,35173,0,11830
1,AL,35175,0,2130
1,AL,35176,0,360
1,AL,35178,0,1460
1,AL,35179,0,3720
1,AL,35180,0,5610
1,AL,35183,0,270
1,AL,35184,0,2070
1,AL,35186,0,1970
1,AL,35188,0,1130
1,AL,35203,0,1330
1,AL,35204,0,4030
1,AL,35205,0,8030
1,AL,35206,0,6790
1,AL,35207,0,3650
1,AL,35208,0,6600
1,AL,35209,0,12500
1,AL,35210,0,6600
1,AL,35211,0,11520
1,AL,35212,0,5120
1,AL,35213,0,6840
1,AL,35214,0,8320
1,AL,35215,0,20090
1,AL,35216,0,16720
1,AL,35217,0,5480
1,AL,35218,0,3000
1,AL,35221,0,2050
1,AL,35222,0,3850
1,AL,35223,0,5250
1,AL,35224,0,2420
1,AL,35226,0,15630
1,AL,35228,0,4580
1,AL,35233,0,530
1,AL,35234,0,2300
1,AL,35235,0,8960
1,AL,35242,0,24020
1,AL,35243,0,9330
1,AL,35244,0,15390
1,AL,35401,0,9800
1,AL,35404,0,7690
1,AL,35405,0,17340
1,AL,35406,0,6240
1,AL,35441,0,460
1,AL,35442,0,1980
1,AL,35443,0,710
1,AL,35444,0,1500
1,AL,35446,0,790
1,AL,35447,0,1350
1,AL,35452,0,1560
1,AL,35453,0,4750
1,AL,35456,0,1720
1,AL,35458,0,230
1,AL,35459,0,330
1,AL,35460,0,210
1,AL,35461,0,720
1,AL,35462,0,1930
1,AL,35463,0,780
1,AL,35464,0,250
1,AL,35466,0,2280
1,AL,35469,0,130
1,AL,35470,0,1970
1,AL,35473,0,6790
1,AL,35474,0,2720
1,AL,35475,0,6420
1,AL,35476,0,3950
1,AL,35480,0,630
1,AL,35481,0,1320
1,AL,35490,0,1670
1,AL,35501,0,3800
1,AL,35503,0,3310
1,AL,35504,0,5130
1,AL,35540,0,940
1,AL,35541,0,1270
1,AL,35542,0,390
1,AL,35543,0,370
1,AL,35544,0,250
1,AL,35546,0,1440
1,AL,35548,0,600
1,AL,35549,0,1370
1,AL,35550,0,1980
1,AL,35552,0,330
1,AL,35553,0,1700
1,AL,35554,0,420
1,AL,35555,0,3730
1,AL,35563,0,1530
1,AL,35564,0,790
1,AL,35565,0,4850
1,AL,35570,0,3900
1,AL,35571,0,330
1,AL,35572,0,390
1,AL,35574,0,530
1,AL,35575,0,390
1,AL,35576,0,1110
1,AL,35578,0,1910
1,AL,35579,0,1190
1,AL,35580,0,1470
1,AL,35581,0,1870
1,AL,35582,0,1770
1,AL,35585,0,640
1,AL,35586,0,1610
1,AL,35587,0,320
1,AL,35592,0,1730
1,AL,35593,0,660
1,AL,35594,0,2840
1,AL,35601,0,14610
1,AL,35603,0,13580
1,AL,35610,0,740
1,AL,35611,0,10270
1,AL,35613,0,8510
1,AL,35614,0,2910
1,AL,35616,0,1490
1,AL,35618,0,800
1,AL,35619,0,2050
1,AL,35620,0,3570
1,AL,35621,0,1170
1,AL,35622,0,2720
1,AL,35630,0,12580
1,AL,35633,0,8530
1,AL,35634,0,4430
1,AL,35640,0,10570
1,AL,35643,0,1380
1,AL,35645,0,5540
1,AL,35646,0,1890
1,AL,35647,0,440
1,AL,35648,0,1550
1,AL,35650,0,5430
1,AL,35651,0,430
1,AL,35652,0,3390
1,AL,35653,0,4910
1,AL,35654,0,3090
1,AL,35660,0,4080
1,AL,35661,0,7510
1,AL,35670,0,3130
1,AL,35671,0,910
1,AL,35672,0,2550
1,AL,35673,0,3300
1,AL,35674,0,7660
1,AL,35677,0,710
1,AL,35739,0,2100
1,AL,35740,0,1360
1,AL,35741,0,1400
1,AL,35744,0,920
1,AL,35746,0,320
1,AL,35747,0,2300
1,AL,35748,0,2810
1,AL,35749,0,10170
1,AL,35750,0,5660
1,AL,35752,0,890
1,AL,35754,0,2070
1,AL,35755,0,250
1,AL,35756,0,5680
1,AL,35757,0,6570
1,AL,35758,0,20340
1,AL,35759,0,3460
1,AL,35760,0,2080
1,AL,35761,0,4940
1,AL,35763,0,6830
1,AL,35764,0,230
1,AL,35765,0,1450
1,AL,35768,0,4860
1,AL,35769,0,4020
1,AL,35771,0,1390
1,AL,35772,0,1920
1,AL,35773,0,5360
1,AL,35775,0,270
1,AL,35776,0,1430
1,AL,35801,0,10040
1,AL,35802,0,10950
1,AL,35803,0,12830
1,AL,35805,0,9380
1,AL,35806,0,9750
1,AL,35808,0,430
1,AL,35810,0,13850
1,AL,35811,0,12370
1,AL,35816,0,6030
1,AL,35824,0,3320
1,AL,35901,0,7480
1,AL,35903,0,7230
1,AL,35904,0,5420
1,AL,35905,0,2700
1,AL,35906,0,4300
1,AL,35907,0,3670
1,AL,35950,0,9130
1,AL,35951,0,4850
1,AL,35952,0,2650
1,AL,35953,0,2860
1,AL,35954,0,4720
1,AL,35956,0,3330
1,AL,35957,0,6450
1,AL,35958,0,1200
1,AL,35959,0,1740
1,AL,35960,0,3660
1,AL,35961,0,2250
1,AL,35962,0,2620
1,AL,35963,0,590
1,AL,35966,0,1340
1,AL,35967,0,6060
1,AL,35968,0,2260
1,AL,35971,0,1710
1,AL,35972,0,450
1,AL,35973,0,990
1,AL,35974,0,680
1,AL,35975,0,350
1,AL,35976,0,6930
1,AL,35978,0,2000
1,AL,35979,0,510
1,AL,35980,0,1820
1,AL,35981,0,790
1,AL,35983,0,1380
1,AL,35984,0,760
1,AL,35986,0,3040
1,AL,35987,0,970
1,AL,35988,0,710
1,AL,35989,0,1220
1,AL,36003,0,840
1,AL,36005,0,700
1,AL,36006,0,580
1,AL,36009,0,1000
1,AL,36010,0,2120
1,AL,36013,0,190
1,AL,36016,0,1260
1,AL,36017,0,610
1,AL,36020,0,540
1,AL,36022,0,5360
1,AL,36024,0,2600
1,AL,36025,0,1640
1,AL,36026,0,430
1,AL,36027,0,6320
1,AL,36028,0,660
1,AL,36029,0,400
1,AL,36030,0,220
1,AL,36032,0,1120
1,AL,36033,0,1600
1,AL,36034,0,330
1,AL,36035,0,810
1,AL,36036,0,840
1,AL,36037,0,5730
1,AL,36039,0,110
1,AL,36040,0,1670
1,AL,36041,0,580
1,AL,36042,0,540
1,AL,36043,0,1710
1,AL,36046,0,560
1,AL,36047,0,670
1,AL,36048,0,570
1,AL,36049,0,2190
1,AL,36051,0,930
1,AL,36052,0,380
1,AL,36053,0,840
1,AL,36054,0,6560
1,AL,36064,0,3930
1,AL,36066,0,8300
1,AL,36067,0,11010
1,AL,36069,0,830
1,AL,36071,0,380
1,AL,36075,0,890
1,AL,36078,0,5630
1,AL,36079,0,3540
1,AL,36080,0,1010
1,AL,36081,0,5890
1,AL,36083,0,3760
1,AL,36088,0,1130
1,AL,36089,0,3010
1,AL,36091,0,1470
1,AL,36092,0,8580
1,AL,36093,0,4740
1,AL,36104,0,2960
1,AL,36105,0,5280
1,AL,36106,0,6870
1,AL,36107,0,3700
1,AL,36108,0,8800
1,AL,36109,0,11710
1,AL,36110,0,5170
1,AL,36111,0,5970
1,AL,36113,0,330
1,AL,36115,0,230
1,AL,36116,0,19480
1,AL,36117,0,21970
1,AL,36201,0,6630
1,AL,36203,0,8270
1,AL,36205,0,340
1,AL,36206,0,4670
1,AL,36207,0,8060
1,AL,36250,0,2050
1,AL,36251,0,2080
1,AL,36255,0,350
1,AL,36256,0,630
1,AL,36258,0,600
1,AL,36260,0,1610
1,AL,36262,0,520
1,AL,36263,0,270
1,AL,36264,0,3470
1,AL,36265,0,7560
1,AL,36266,0,2090
1,AL,36268,0,2230
1,AL,36269,0,450
1,AL,36271,0,2350
1,AL,36272,0,4730
1,AL,36273,0,1050
1,AL,36274,0,4330
1,AL,36276,0,850
1,AL,36277,0,2390
1,AL,36278,0,1790
1,AL,36279,0,1060
1,AL,36280,0,1490
1,AL,36301,0,15040
1,AL,36303,0,13430
1,AL,36305,0,6660
1,AL,36310,0,2540
1,AL,36311,0,1020
1,AL,36312,0,2460
1,AL,36314,0,240
1,AL,36316,0,770
1,AL,36317,0,180
1,AL,36318,0,500
1,AL,36319,0,920
1,AL,36320,0,1390
1,AL,36321,0,710
1,AL,36322,0,3520
1,AL,36323,0,3070
1,AL,36330,0,14370
1,AL,36340,0,2200
1,AL,36343,0,590
1,AL,36344,0,2140
1,AL,36345,0,3410
1,AL,36346,0,530
1,AL,36350,0,2910
1,AL,36351,0,1420
1,AL,36352,0,2060
1,AL,36353,0,820
1,AL,36360,0,7710
1,AL,36362,0,1320
1,AL,36370,0,380
1,AL,36373,0,230
1,AL,36374,0,480
1,AL,36375,0,2820
1,AL,36376,0,980
1,AL,36401,0,3060
1,AL,36420,0,4650
1,AL,36421,0,3500
1,AL,36425,0,370
1,AL,36426,0,5700
1,AL,36432,0,1000
1,AL,36435,0,220
1,AL,36436,0,180
1,AL,36441,0,1410
1,AL,36442,0,1190
1,AL,36444,0,240
1,AL,36445,0,1580
1,AL,36451,0,1960
1,AL,36453,0,890
1,AL,36456,0,730
1,AL,36460,0,3320
1,AL,36467,0,3900
1,AL,36471,0,420
1,AL,36474,0,1160
1,AL,36475,0,750
1,AL,36477,0,1770
1,AL,36480,0,720
1,AL,36481,0,130
1,AL,36482,0,410
1,AL,36483,0,190
1,AL,36502,0,6260
1,AL,36505,0,630
1,AL,36507,0,7780
1,AL,36509,0,880
1,AL,36511,0,410
1,AL,36518,0,1100
1,AL,36521,0,2070
1,AL,36522,0,2940
1,AL,36523,0,1060
1,AL,36524,0,430
1,AL,36525,0,880
1,AL,36526,0,13690
1,AL,36527,0,5680
1,AL,36528,0,700
1,AL,36529,0,240
1,AL,36530,0,3060
1,AL,36532,0,12440
1,AL,36535,0,11280
1,AL,36538,0,150
1,AL,36539,0,270
1,AL,36540,0,350
1,AL,36541,0,5990
1,AL,36542,0,5520
1,AL,36544,0,4460
1,AL,36545,0,3700
1,AL,36548,0,490
1,AL,36549,0,2170
1,AL,36551,0,3530
1,AL,36553,0,1260
1,AL,36555,0,610
1,AL,36558,0,1320
1,AL,36560,0,1400
1,AL,36561,0,3610
1,AL,36562,0,710
1,AL,36567,0,5510
1,AL,36569,0,310
1,AL,36571,0,6660
1,AL,36572,0,3010
1,AL,36574,0,540
1,AL,36575,0,8170
1,AL,36576,0,1840
1,AL,36578,0,780
1,AL,36579,0,750
1,AL,36580,0,2310
1,AL,36582,0,9890
1,AL,36583,0,240
1,AL,36584,0,270
1,AL,36585,0,400
1,AL,36587,0,4150
1,AL,36602,0,530
1,AL,36603,0,2820
1,AL,36604,0,4050
1,AL,36605,0,11990
1,AL,36606,0,8340
1,AL,36607,0,2750
1,AL,36608,0,15410
1,AL,36609,0,10660
1,AL,36610,0,4970
1,AL,36611,0,2470
1,AL,36612,0,1850
1,AL,36613,0,4970
1,AL,36617,0,5770
1,AL,36618,0,7590
1,AL,36619,0,6480
1,AL,36693,0,8700
1,AL,36695,0,20520
1,AL,36701,0,9390
1,AL,36703,0,4620
1,AL,36720,0,290
1,AL,36722,0,160
1,AL,36726,0,1830
1,AL,36728,0,250
1,AL,36732,0,3550
1,AL,36736,0,490
1,AL,36738,0,360
1,AL,36740,0,480
1,AL,36742,0,970
1,AL,36744,0,2600
1,AL,36748,0,1300
1,AL,36749,0,430
1,AL,36750,0,1180
1,AL,36751,0,310
1,AL,36752,0,750
1,AL,36754,0,100
1,AL,36756,0,2130
1,AL,36758,0,540
1,AL,36759,0,630
1,AL,36761,0,430
1,AL,36765,0,510
1,AL,36767,0,740
1,AL,36768,0,310
1,AL,36769,0,1080
1,AL,36773,0,180
1,AL,36775,0,330
1,AL,36776,0,590
1,AL,36782,0,830
1,AL,36783,0,330
1,AL,36784,0,3220
1,AL,36785,0,520
1,AL,36786,0,1270
1,AL,36790,0,120
1,AL,36792,0,450
1,AL,36793,0,220
1,AL,36801,0,9830
1,AL,36804,0,7550
1,AL,36830,0,14910
1,AL,36832,0,7380
1,AL,36850,0,1110
1,AL,36852,0,980
1,AL,36853,0,3420
1,AL,36854,0,6670
1,AL,36855,0,570
1,AL,36856,0,2530
1,AL,36858,0,250
1,AL,36860,0,760
1,AL,36861,0,1300
1,AL,36862,0,2500
1,AL,36863,0,5370
1,AL,36866,0,1650
1,AL,36867,0,9320
1,AL,36869,0,11430
1,AL,36870,0,7730
1,AL,36871,0,430
1,AL,36874,0,3320
1,AL,36875,0,2570
1,AL,36877,0,5130
1,AL,36879,0,820
1,AL,36904,0,1670
1,AL,36907,0,690
1,AL,36908,0,880
1,AL,36912,0,730
1,AL,36915,0,200
1,AL,36916,0,250
1,AL,36919,0,750
1,AL,36921,0,410
1,AL,36922,0,220
1,AL,36925,0,1240
1,AL,99999,0,38010
2,AK,0,0,358990
2,AK,99501,0,8760
2,AK,99502,0,12150
2,AK,99503,0,8760
2,AK,99504,0,19820
2,AK,99505,0,2810
2,AK,99506,0,3070
2,AK,99507,0,19470
2,AK,99508,0,16680
2,AK,99515,0,11400
2,AK,99516,0,9880
2,AK,99517,0,8640
2,AK,99518,0,5410
2,AK,99540,0,150
2,AK,99556,0,1230
2,AK,99567,0,4370
2,AK,99568,0,140
2,AK,99572,0,200
2,AK,99573,0,480
2,AK,99577,0,13130
2,AK,99586,0,270
2,AK,99588,0,690
2,AK,99603,0,5430
2,AK,99605,0,110
2,AK,99610,0,1180
2,AK,99611,0,6880
2,AK,99615,0,6650
2,AK,99631,0,150
2,AK,99639,0,580
2,AK,99645,0,12550
2,AK,99654,0,13180
2,AK,99664,0,2390
2,AK,99669,0,7660
2,AK,99672,0,1670
2,AK,99674,0,700
2,AK,99676,0,860
2,AK,99686,0,2100
2,AK,99688,0,1300
2,AK,99701,0,8570
2,AK,99702,0,1170
2,AK,99703,0,3440
2,AK,99705,0,9350
2,AK,99709,0,10840
2,AK,99712,0,4490
2,AK,99714,0,480
2,AK,99737,0,1900
2,AK,99743,0,570
2,AK,99760,0,360
2,AK,99780,0,830
2,AK,99801,0,12370
2,AK,99824,0,1130
2,AK,99827,0,1360
2,AK,99835,0,4650
2,AK,99901,0,6330
2,AK,99999,0,80460
4,AZ,0,0,2709600
4,AZ,85003,0,3490
4,AZ,85004,0,2550
4,AZ,85006,0,9690
4,AZ,85007,0,5230
4,AZ,85008,0,22180
4,AZ,85009,0,16300
4,AZ,85012,0,3530
4,AZ,85013,0,9310
4,AZ,85014,0,11600
4,AZ,85015,0,15580
4,AZ,85016,0,16730
4,AZ,85017,0,14450
4,AZ,85018,0,17490
4,AZ,85019,0,9970
4,AZ,85020,0,15420
4,AZ,85021,0,15530
4,AZ,85022,0,21990
4,AZ,85023,0,14780
4,AZ,85024,0,11470
4,AZ,85027,0,17130
4,AZ,85028,0,10030
4,AZ,85029,0,18680
4,AZ,85031,0,10910
4,AZ,85032,0,29910
4,AZ,85033,0,20310
4,AZ,85034,0,1850
4,AZ,85035,0,18260
4,AZ,85037,0,18610
4,AZ,85040,0,11130
4,AZ,85041,0,21980
4,AZ,85042,0,16720
4,AZ,85043,0,12280
4,AZ,85044,0,19090
4,AZ,85045,0,3120
4,AZ,85048,0,15410
4,AZ,85050,0,13020
4,AZ,85051,0,16630
4,AZ,85053,0,12860
4,AZ,85054,0,2510
4,AZ,85083,0,7520
4,AZ,85085,0,9140
4,AZ,85086,0,15580
4,AZ,85087,0,3420
4,AZ,85118,0,5010
4,AZ,85119,0,7730
4,AZ,85120,0,9570
4,AZ,85122,0,17760
4,AZ,85128,0,4900
4,AZ,85131,0,3920
4,AZ,85132,0,5900
4,AZ,85137,0,840
4,AZ,85138,0,12100
4,AZ,85139,0,6590
4,AZ,85140,0,11220
4,AZ,85142,0,18840
4,AZ,85143,0,11850
4,AZ,85145,0,660
4,AZ,85172,0,820
4,AZ,85173,0,980
4,AZ,85192,0,530
4,AZ,85193,0,1110
4,AZ,85194,0,2190
4,AZ,85201,0,19210
4,AZ,85202,0,17100
4,AZ,85203,0,14460
4,AZ,85204,0,24650
4,AZ,85205,0,16680
4,AZ,85206,0,14640
4,AZ,85207,0,18340
4,AZ,85208,0,13480
4,AZ,85209,0,15590
4,AZ,85210,0,14970
4,AZ,85212,0,10500
4,AZ,85213,0,13010
4,AZ,85215,0,7180
4,AZ,85223,0,120
4,AZ,85224,0,21380
4,AZ,85225,0,29770
4,AZ,85226,0,17890
4,AZ,85233,0,17060
4,AZ,85234,0,20810
4,AZ,85248,0,15370
4,AZ,85249,0,15950
4,AZ,85250,0,8930
4,AZ,85251,0,18540
4,AZ,85253,0,7780
4,AZ,85254,0,22430
4,AZ,85255,0,18090
4,AZ,85256,0,2170
4,AZ,85257,0,13710
4,AZ,85258,0,12230
4,AZ,85259,0,10200
4,AZ,85260,0,18660
4,AZ,85262,0,4840
4,AZ,85263,0,840
4,AZ,85264,0,590
4,AZ,85266,0,4700
4,AZ,85268,0,10560
4,AZ,85281,0,20170
4,AZ,85282,0,23410
4,AZ,85283,0,21300
4,AZ,85284,0,8890
4,AZ,85286,0,15370
4,AZ,85295,0,16100
4,AZ,85296,0,17180
4,AZ,85297,0,11710
4,AZ,85298,0,9680
4,AZ,85301,0,21890
4,AZ,85302,0,15880
4,AZ,85303,0,12270
4,AZ,85304,0,11840
4,AZ,85305,0,5180
4,AZ,85306,0,10670
4,AZ,85307,0,3640
4,AZ,85308,0,29310
4,AZ,85309,0,410
4,AZ,85310,0,9000
4,AZ,85321,0,1370
4,AZ,85322,0,230
4,AZ,85323,0,14940
4,AZ,85324,0,1100
4,AZ,85326,0,19060
4,AZ,85331,0,11710
4,AZ,85333,0,220
4,AZ,85335,0,12740
4,AZ,85337,0,1020
4,AZ,85338,0,18600
4,AZ,85339,0,15680
4,AZ,85340,0,11790
4,AZ,85342,0,500
4,AZ,85344,0,3930
4,AZ,85345,0,23420
4,AZ,85347,0,170
4,AZ,85348,0,640
4,AZ,85350,0,7300
4,AZ,85351,0,13120
4,AZ,85353,0,14030
4,AZ,85354,0,2230
4,AZ,85355,0,4100
4,AZ,85356,0,1200
4,AZ,85361,0,2280
4,AZ,85363,0,2560
4,AZ,85364,0,27470
4,AZ,85365,0,16010
4,AZ,85367,0,6680
4,AZ,85373,0,7820
4,AZ,85374,0,17060
4,AZ,85375,0,13060
4,AZ,85379,0,15680
4,AZ,85381,0,11640
